CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
19,Male,52,23,29
20,Female,35,23,98
21,Male,35,24,35
22,Male,25,24,73
23,Female,46,25,5
24,Male,31,25,73
25,Female,54,28,14
26,Male,29,28,82
27,Female,45,28,32
28,Male,35,28,61
29,Female,40,29,31
30,Female,23,29,87
31,Male,60,30,4
32,Female,21,30,73
33,Male,53,33,4
34,Male,18,33,92
35,Female,49,33,14
36,Female,21,33,81
37,Female,42,34,17
38,Female,30,34,73
39,Male,36,37,26
40,Male,20,37,75
41,Male,65,38,35
42,Female,24,38,92
43,Female,48,39,36
44,Female,31,39,61
45,Female,49,39,28
46,Female,24,39,65
47,Female,50,40,55
48,Male,27,40,47
49,Female,29,40,42
50,Female,31,40,42
51,Male,49,42,52
52,Female,33,42,60
53,Male,31,43,54
54,Female,59,43,60
55,Female,50,43,45
56,Male,47,43,41
57,Female,51,44,50
58,Female,69,44,46
59,Male,27,46,51
60,Male,53,46,46
61,Female,70,46,56
62,Female,19,46,55
63,Female,67,47,52
64,Male,54,47,59
65,Female,63,48,51
66,Female,18,48,59
67,Male,43,48,50
68,Male,68,48,48
69,Male,19,48,59
70,Female,32,50,42
71,Female,24,50,55
72,Male,47,50,42
73,Female,25,54,47
74,Female,33,54,47
75,Male,59,54,46
76,Female,35,54,45
77,Female,23,54,52
78,Male,25,54,42
79,Female,24,54,57
80,Female,26,54,55
81,Male,20,57,55
82,Male,57,57,54
83,Female,44,57,46
84,Male,19,57,55
85,Female,49,57,42
86,Male,51,58,46
87,Female,69,58,43
88,Female,27,58,60
89,Male,19,58,46
90,Female,50,59,55
91,Female,47,59,41
92,Female,47,60,47
93,Female,19,60,56
94,Male,45,60,40
95,Female,32,60,42
96,Male,24,60,52
97,Female,47,60,47
98,Female,27,60,51
99,Male,20,61,42
100,Female,45,61,49
101,Male,24,61,50
102,Female,32,61,43
103,Female,48,62,49
104,Female,34,62,41
105,Female,49,62,48
106,Female,51,62,44
107,Male,69,62,46
108,Male,20,63,59
109,Male,32,63,46
110,Female,47,63,43
111,Male,60,63,54
112,Female,22,63,46
113,Male,48,64,43
114,Female,57,64,42
115,Female,33,65,38
116,Male,32,65,63
117,Female,24,65,35
118,Male,47,65,60
119,Female,27,67,35
120,Female,29,67,71
121,Female,22,67,43
122,Female,55,67,57
123,Male,53,67,58
124,Female,64,67,46
125,Male,29,68,43
126,Female,59,68,59
127,Female,19,71,35
128,Female,24,71,43
129,Female,50,71,43
130,Female,59,71,46
131,Male,47,71,46
132,Female,48,71,41
133,Female,36,72,34
134,Female,27,72,50
135,Female,20,73,5
136,Female,45,73,5
137,Male,56,73,5
138,Female,35,73,5
139,Female,35,74,5
140,Female,45,74,5
141,Male,32,75,93
142,Female,34,75,5
143,Male,40,75,5
144,Female,45,76,5
145,Female,46,76,5
146,Female,29,76,97
147,Female,32,76,5
148,Female,25,77,12
149,Male,20,77,13
150,Female,29,77,36
151,Male,43,78,5
152,Male,39,78,88
153,Female,44,78,20
154,Female,38,78,76
155,Female,47,78,16
156,Male,27,78,89
157,Female,37,78,1
158,Male,30,78,78
159,Female,34,78,1
160,Male,19,78,88
161,Male,67,78,16
162,Female,56,79,35
163,Female,49,79,29
164,Female,29,79,83
165,Female,31,79,14
166,Female,50,85,26
167,Male,27,85,75
168,Female,29,86,28
169,Female,28,86,73
170,Male,34,87,58
171,Female,32,87,75
172,Female,33,87,5
173,Female,19,87,92
174,Male,27,87,63
175,Male,39,87,75
176,Female,31,87,40
177,Male,32,87,97
178,Female,35,88,15
179,Female,32,88,86
180,Male,22,88,57
181,Female,21,88,76
182,Male,34,89,1
183,Female,32,89,78
184,Female,29,89,73
185,Male,46,89,28
186,Female,41,90,58
187,Male,30,90,73
188,Female,54,90,20
189,Male,28,90,83
190,Female,41,90,18
191,Female,36,92,69
192,Female,34,92,14
193,Male,32,92,86
194,Female,33,92,15
195,Male,38,92,69
196,Female,47,93,5
197,Female,35,93,90
198,Female,45,93,17
199,Male,32,93,18
200,Male,32,97,32
201,Female,30,97,86
202,Female,59,97,15
203,Female,35,97,69
204,Female,37,98,5
205,Female,32,98,15
206,Male,29,99,75
207,Female,35,99,10
208,Female,37,101,42
209,Female,32,101,16
210,Male,30,103,85
211,Female,35,103,23
212,Female,45,103,69
213,Male,32,103,8
214,Male,19,103,3
215,Female,35,103,73
216,Male,46,104,12
217,Female,41,104,17
218,Male,20,104,88
219,Male,24,104,20
220,Female,19,105,3
221,Female,46,105,73
222,Female,48,105,17
223,Female,40,107,13
224,Male,32,107,87
225,Female,35,108,13
226,Female,28,108,101
227,Female,40,109,29
